date,rate
2000-03-01,7.1
2000-04-01,7.4
2000-05-01,8.1
2000-06-01,10.5
2000-07-01,10.1
2000-08-01,10.4
2000-09-01,10.0
2000-10-01,9.3
2000-11-01,8.4
2000-12-01,6.5
2001-01-01,
2001-02-01,
2001-03-01,7.1
2001-04-01,8.9
2001-05-01,8.9
2001-06-01,9.8
2001-07-01,9.7
2001-08-01,9.7
2001-09-01,9.4
2001-10-01,9.3
2001-11-01,7.2
2001-12-01,6.4
2002-01-01,
2002-02-01,
2002-03-01,6.4
2002-04-01,7.3
2002-05-01,8.6
2002-06-01,9.6
2002-07-01,9.7
2002-08-01,9.6
2002-09-01,9.1
2002-10-01,8.7
2002-11-01,6.6
2002-12-01,6.7
2003-01-01,
2003-02-01,
2003-03-01,6.1
2003-04-01,7.0
2003-05-01,7.2
2003-06-01,9.6
2003-07-01,8.9
2003-08-01,8.7
2003-09-01,9.0
2003-10-01,8.4
2003-11-01,6.5
2003-12-01,6.3
2004-01-01,
2004-02-01,
2004-03-01,6.4
2004-04-01,7.2
2004-05-01,9.0
2004-06-01,10.1
2004-07-01,9.9
2004-08-01,9.1
2004-09-01,8.9
2004-10-01,8.5
2004-11-01,6.3
2004-12-01,6.2
2005-01-01,
2005-02-01,
2005-03-01,6.1
2005-04-01,7.4
2005-05-01,8.4
2005-06-01,9.9
2005-07-01,9.8
2005-08-01,9.0
2005-09-01,8.9
2005-10-01,8.3
2005-11-01,6.1
2005-12-01,6.0
2006-01-01,
2006-02-01,
2006-03-01,6.1
2006-04-01,6.5
2006-05-01,7.8
2006-06-01,9.0
2006-07-01,9.1
2006-08-01,9.2
2006-09-01,8.6
2006-10-01,7.9
2006-11-01,6.9
2006-12-01,6.0
2007-01-01,
2007-02-01,
2007-03-01,6.3
2007-04-01,6.8
2007-05-01,7.9
2007-06-01,9.8
2007-07-01,9.8
2007-08-01,8.5
2007-09-01,8.6
2007-10-01,7.5
2007-11-01,5.9
2007-12-01,5.6
2008-01-01,
2008-02-01,
2008-03-01,5.7
2008-04-01,6.5
2008-05-01,8.2
2008-06-01,9.6
2008-07-01,8.3
2008-08-01,9.7
2008-09-01,7.9
2008-10-01,8.0
2008-11-01,5.8
2008-12-01,5.4
2009-01-01,
2009-02-01,
2009-03-01,5.6
2009-04-01,6.5
2009-05-01,6.9
2009-06-01,8.6
2009-07-01,8.3
2009-08-01,8.1
2009-09-01,8.1
2009-10-01,7.5
2009-11-01,6.1
2009-12-01,5.3
